"run_id","group","seed","accuracy","f1","task_contrast_mean","anti_collapse_pass","forbidden_inputs_absent","ablated_features"
"vfuture-witness-ablation-full-s42","full","42","1","1","-0.006262","True","True",""
"vfuture-witness-ablation-full-s123","full","123","1","1","-0.004593","True","True",""
"vfuture-witness-ablation-full-s777","full","777","1","1","-0.005731","True","True",""
"vfuture-witness-ablation-A-sector-means-s42","group_A_sector_means","42","1","1","-0.006262","True","True","mu_P_small;mu_P_large;mu_N_small;mu_N_large"
"vfuture-witness-ablation-A-sector-means-s123","group_A_sector_means","123","1","1","-0.004593","True","True","mu_P_small;mu_P_large;mu_N_small;mu_N_large"
"vfuture-witness-ablation-A-sector-means-s777","group_A_sector_means","777","1","1","-0.005731","True","True","mu_P_small;mu_P_large;mu_N_small;mu_N_large"
"vfuture-witness-ablation-B-sign-contrasts-s42","group_B_sign_contrasts","42","1","1","-0.006262","True","True","delta_sign_small;delta_sign_large"
"vfuture-witness-ablation-B-sign-contrasts-s123","group_B_sign_contrasts","123","0.953125","0.955224","-0.004593","True","True","delta_sign_small;delta_sign_large"
"vfuture-witness-ablation-B-sign-contrasts-s777","group_B_sign_contrasts","777","1","1","-0.005731","True","True","delta_sign_small;delta_sign_large"
"vfuture-witness-ablation-C-magnitude-contrasts-s42","group_C_magnitude_contrasts","42","1","1","-0.006262","True","True","delta_mag_pos;delta_mag_neg"
"vfuture-witness-ablation-C-magnitude-contrasts-s123","group_C_magnitude_contrasts","123","1","1","-0.004593","True","True","delta_mag_pos;delta_mag_neg"
"vfuture-witness-ablation-C-magnitude-contrasts-s777","group_C_magnitude_contrasts","777","1","1","-0.005731","True","True","delta_mag_pos;delta_mag_neg"
"vfuture-witness-ablation-D-task-contrast-s42","group_D_task_contrast","42","1","1","-0.006262","True","True","delta_task"
"vfuture-witness-ablation-D-task-contrast-s123","group_D_task_contrast","123","1","1","-0.004593","True","True","delta_task"
"vfuture-witness-ablation-D-task-contrast-s777","group_D_task_contrast","777","1","1","-0.005731","True","True","delta_task"
