order,stage_id,purpose,command,hardware_submission_command
1,stage164,verify provider results against the pre-run job-shard lock,python scripts/run_stage164_first_provider_result_lock_verifier.py,False
2,stage115,collect provider result shards into Stage 113 input,python scripts/run_stage115_provider_result_collector.py --provider ibm_runtime --write-stage113-input,False
3,stage113,assemble provider job results into evidence files,python scripts/run_stage113_job_result_evidence_assembler.py --provider ibm_runtime --write-evidence,False
4,stage101,verify known-state calibration counts,python scripts/run_stage101_known_state_calibration_gate.py,False
5,stage103,recompute preregistered robustness metrics,python scripts/run_stage103_robustness_metric_preregistration.py,False
6,stage136,refresh auditability metric contract,python scripts/run_stage136_auditability_metric_preregistration.py,False
7,stage137,evaluate provider-scoped auditability metrics,python scripts/run_stage137_auditability_metric_evaluator.py --provider ibm_runtime,False
8,stage148,apply first-provider statistical interpretation guard,python scripts/run_stage148_first_provider_statistical_interpretation_gate.py,False
9,stage109,validate assembled evidence intake,python scripts/run_stage109_window_evidence_intake_validator.py,False
10,stage110,apply replicated robustness claim gate,python scripts/run_stage110_replicated_advantage_claim_gate.py,False
11,stage138,apply objective claim gate,python scripts/run_stage138_objective_claim_gate.py,False
12,stage135,audit the full post-collection claim-gate sequence,python scripts/run_stage135_post_collection_claim_gate_sequence.py,False
