stage_id,name,decision,ready,result_path,command,blockers
stage115,provider result collector handoff,PROVIDER_RESULTS_COLLECTION_BLOCKED_RESULTS_MISSING,False,logs/automated_stage_gates/stage115_provider_result_collector/results.json,python scripts/run_stage115_provider_result_collector.py --write-stage113-input,stage115_provider_results_not_collected_for_stage113
stage134,runner result intake alignment,RUNNER_RESULT_INTAKE_ALIGNED_EXECUTION_BLOCKED,False,logs/automated_stage_gates/stage134_runner_result_intake_alignment_audit/results.json,python scripts/run_stage134_runner_result_intake_alignment_audit.py,stage134_runner_result_intake_not_ready
stage113,job result evidence assembler,JOB_RESULT_EVIDENCE_ASSEMBLY_BLOCKED_RESULTS_MISSING,False,logs/automated_stage_gates/stage113_job_result_evidence_assembler/results.json,python scripts/run_stage113_job_result_evidence_assembler.py --write-evidence,stage113_evidence_not_assembled
stage101,known-state calibration gate,KNOWN_STATE_CALIBRATION_COUNTS_REQUIRED_BEFORE_HARDWARE_INTERPRETATION,False,logs/automated_stage_gates/stage101_known_state_calibration_gate/results.json,python scripts/run_stage101_known_state_calibration_gate.py,stage101_calibration_not_verified
stage103,robustness metric recomputation,ROBUSTNESS_METRICS_PREREGISTERED_HARDWARE_COUNTS_REQUIRED,False,logs/automated_stage_gates/stage103_robustness_metric_preregistration/results.json,python scripts/run_stage103_robustness_metric_preregistration.py,stage103_metrics_not_ready_for_interpretation
stage136,auditability metric preregistration,AUDITABILITY_METRIC_CONTRACT_READY_HARDWARE_COUNTS_REQUIRED,True,logs/automated_stage_gates/stage136_auditability_metric_preregistration/results.json,python scripts/run_stage136_auditability_metric_preregistration.py,
stage137,auditability metric evaluator,AUDITABILITY_METRICS_BLOCKED_HARDWARE_COUNTS_REQUIRED,False,logs/automated_stage_gates/stage137_auditability_metric_evaluator/results.json,python scripts/run_stage137_auditability_metric_evaluator.py,stage137_auditability_metrics_not_ready
stage148,first-provider statistical interpretation gate,FIRST_PROVIDER_STATISTICAL_INTERPRETATION_BLOCKED_EVIDENCE_REQUIRED,False,logs/automated_stage_gates/stage148_first_provider_statistical_interpretation_gate/results.json,python scripts/run_stage148_first_provider_statistical_interpretation_gate.py,stage148_statistical_interpretation_not_ready
stage109,window evidence intake validator,WINDOW_EVIDENCE_INTAKE_BLOCKED_EVIDENCE_MISSING,False,logs/automated_stage_gates/stage109_window_evidence_intake_validator/results.json,python scripts/run_stage109_window_evidence_intake_validator.py,stage109_window_evidence_not_ready
stage110,replicated advantage claim gate,REPLICATED_ADVANTAGE_CLAIM_BLOCKED_EVIDENCE_INTAKE_INCOMPLETE,False,logs/automated_stage_gates/stage110_replicated_advantage_claim_gate/results.json,python scripts/run_stage110_replicated_advantage_claim_gate.py,stage110_final_claim_gate_not_terminal
stage138,objective claim gate,OBJECTIVE_CLAIM_GATE_BLOCKED_EVIDENCE_INCOMPLETE,False,logs/automated_stage_gates/stage138_objective_claim_gate/results.json,python scripts/run_stage138_objective_claim_gate.py,stage138_objective_claim_gate_not_terminal
