section,item,value
decision,decision,TOY_DECODER_LANE_BOUND_FREE_RETRIEVAL_UNSOLVED
decision,claim_boundary,"Structural copy routes solve the row family, but current free learned toy pointer-generators do not generalize both original retrieval tasks."
lane_boundary,boundary,"The current toy pointer-generator lane has useful capacity and diagnostic positives, but its free learned variants have not internalized the support-to-token route that structural experts can supply."
next_gate,reviewer_next_gate,Move to a stronger matched decoder-only transformer implementation or a materially different learned binding mechanism; do not treat further small pointer-generator variants as RoPE-replacement evidence without free held-out retrieval improvement.
structural_copy_route,stage87_in_decoder_support_routed_copy_expert_audit,"{""decision"": ""IN_DECODER_SUPPORT_ROUTED_COPY_EXPERT_SOLVES_PHASE_CUED_NOT_PROMOTION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""sinusoidal"", ""phase_cued_retrieval"": ""rope_relative""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.416667, ""phase_cued_retrieval"": 0.783333}, ""retrieval_solved"": false}"
structural_copy_route,stage88_structural_retrieval_routed_copy_expert_audit,"{""decision"": ""STRUCTURAL_RETRIEVAL_ROUTED_COPY_EXPERT_SOLVES_RETRIEVAL_NOT_PROMOTION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""rope_relative"", ""phase_cued_retrieval"": ""rope_relative""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 1.0, ""phase_cued_retrieval"": 0.783333}, ""retrieval_solved"": true}"
free_learned_pointer_generator,stage64_two_block_pointer_generator_capacity_audit,"{""decision"": ""TWO_BLOCK_POINTER_GENERATOR_CAPACITY_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""rope_relative"", ""phase_cued_retrieval"": ""phasewrap_adapter""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.05, ""phase_cued_retrieval"": 0.016667}, ""retrieval_solved"": false}"
free_learned_pointer_generator,stage65_pointer_generator_length_curriculum_audit,"{""decision"": ""POINTER_GENERATOR_LENGTH_CURRICULUM_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""sinusoidal"", ""phase_cued_retrieval"": ""rope_relative""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.033333, ""phase_cued_retrieval"": 0.033333}, ""retrieval_solved"": false}"
free_learned_pointer_generator,stage68_content_key_auxiliary_transfer_audit,"{""decision"": ""CONTENT_KEY_AUXILIARY_TRANSFER_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""sinusoidal"", ""phase_cued_retrieval"": ""alibi""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.033333, ""phase_cued_retrieval"": 0.016667}, ""retrieval_solved"": false}"
free_learned_pointer_generator,stage69_original_multitask_pointer_generator_audit,"{""decision"": ""ORIGINAL_MULTITASK_POINTER_GENERATOR_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""sinusoidal"", ""phase_cued_retrieval"": ""no_position""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.033333, ""phase_cued_retrieval"": 0.016667}, ""retrieval_solved"": false}"
free_learned_pointer_generator,stage84_support_auxiliary_pointer_generator_audit,"{""decision"": ""SUPPORT_AUXILIARY_POINTER_GENERATOR_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""sinusoidal"", ""phase_cued_retrieval"": ""sinusoidal""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.033333, ""phase_cued_retrieval"": 0.016667}, ""retrieval_solved"": false}"
free_learned_pointer_generator,stage85_dual_auxiliary_pointer_generator_audit,"{""decision"": ""DUAL_AUXILIARY_POINTER_GENERATOR_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""sinusoidal"", ""phase_cued_retrieval"": ""sinusoidal""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.416667, ""phase_cued_retrieval"": 0.05}, ""retrieval_solved"": false}"
free_learned_pointer_generator,stage86_dual_auxiliary_budget_sensitivity_audit,"{""decision"": ""DUAL_AUXILIARY_BUDGET_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {}, ""retrieval_best_top1"": {}, ""retrieval_solved"": false}"
free_learned_pointer_generator,stage89_structural_teacher_distilled_pointer_generator_audit,"{""decision"": ""STRUCTURAL_TEACHER_DISTILLED_POINTER_GENERATOR_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""sinusoidal"", ""phase_cued_retrieval"": ""sinusoidal""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.366667, ""phase_cued_retrieval"": 0.05}, ""retrieval_solved"": false}"
free_learned_pointer_generator,stage90_three_block_teacher_distilled_pointer_generator_audit,"{""decision"": ""THREE_BLOCK_TEACHER_DISTILLED_POINTER_GENERATOR_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""sinusoidal"", ""phase_cued_retrieval"": ""sinusoidal""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.433333, ""phase_cued_retrieval"": 0.033333}, ""retrieval_solved"": false}"
free_learned_pointer_generator,stage91_curriculum_teacher_distilled_pointer_generator_audit,"{""decision"": ""CURRICULUM_TEACHER_DISTILLED_POINTER_GENERATOR_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""sinusoidal"", ""phase_cued_retrieval"": ""sinusoidal""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.333333, ""phase_cued_retrieval"": 0.033333}, ""retrieval_solved"": false}"
free_learned_pointer_generator,stage92_support_binding_teacher_pointer_generator_audit,"{""decision"": ""SUPPORT_BINDING_TEACHER_POINTER_GENERATOR_WITHOUT_RETRIEVAL_GENERALIZATION"", ""retrieval_best_methods"": {""exact_offset_passkey"": ""sinusoidal"", ""phase_cued_retrieval"": ""alibi""}, ""retrieval_best_top1"": {""exact_offset_passkey"": 0.366667, ""phase_cued_retrieval"": 0.05}, ""retrieval_solved"": false}"
