stage_id,decision,expected_decision,ready,purpose
stage154,SIMULATED_NOISE_TARGETED_HARDWARE_FOLLOWUP_RECOMMENDED,SIMULATED_NOISE_TARGETED_HARDWARE_FOLLOWUP_RECOMMENDED,True,simulated-only screen recommends targeted hardware follow-up
stage157,FIRST_PROVIDER_LIVE_RUN_APPROVAL_PACKET_READY,FIRST_PROVIDER_LIVE_RUN_APPROVAL_PACKET_READY,True,approval packet is ready and still requires the exact approval phrase
stage159,FIRST_PROVIDER_BACKEND_PREFLIGHT_READY_AWAITING_APPROVAL,FIRST_PROVIDER_BACKEND_PREFLIGHT_READY_AWAITING_APPROVAL,True,configured IBM backend resolved in a read-only preflight
stage160,FIRST_PROVIDER_POST_RUN_ANALYSIS_PACKET_READY_AWAITING_PROVIDER_RESULTS,FIRST_PROVIDER_POST_RUN_ANALYSIS_PACKET_READY_AWAITING_PROVIDER_RESULTS,True,post-result no-submit analysis sequence is prepared
stage161,FIRST_PROVIDER_EXPOSURE_PACKET_READY_AWAITING_APPROVAL,FIRST_PROVIDER_EXPOSURE_PACKET_READY_AWAITING_APPROVAL,True,job and shot exposure is quantified before approval
stage165,SIMULATED_NOISE_STABLE_TARGETED_HARDWARE_PROBE_RECOMMENDED,SIMULATED_NOISE_STABLE_TARGETED_HARDWARE_PROBE_RECOMMENDED,True,simulated targets clear shot-resolution margin stability audit
stage166,SIMULATED_EVIDENCE_TARGETED_PROBE_READY_BROAD_CLAIM_INSUFFICIENT,SIMULATED_EVIDENCE_TARGETED_PROBE_READY_BROAD_CLAIM_INSUFFICIENT,True,simulated evidence supports targeted probe but not broad claim
stage167,EXPANDED_SIMULATED_SEED_STRESS_DOES_NOT_SUPPORT_BROADENED_HARDWARE_PROBE,EXPANDED_SIMULATED_SEED_STRESS_DOES_NOT_SUPPORT_BROADENED_HARDWARE_PROBE,True,expanded synthetic seed stress does not broaden hardware scope
stage168,REAL_SOURCE_SEED_EXPANSION_REQUIRED_BEFORE_BROADENED_SCOPE,REAL_SOURCE_SEED_EXPANSION_REQUIRED_BEFORE_BROADENED_SCOPE,True,real source seed expansion is required before broadened scope
stage169,TARGETED_IBM_PROBE_SCOPE_LOCKED_TO_STABLE_LANES,TARGETED_IBM_PROBE_SCOPE_LOCKED_TO_STABLE_LANES,True,targeted probe scope is locked to stable Stage165 lanes
