run_id,variant,seed,accuracy,f1,forbidden_inputs_absent,bounded_feature_audit_pass,feature_order
future_relational_witness_triple-triple-s42,V_future_relational_witness_triple,42,1.0,1.0,True,True,cross_sign_small|cross_sign_large|cross_mag_pos|cross_mag_neg|cross_sign_sum|cross_mag_sum|content_agreement|content_disagreement|coupled_xnor|orientation_agreement|orientation_disagreement|triple_even_parity
future_relational_witness_triple-triple-s123,V_future_relational_witness_triple,123,1.0,1.0,True,True,cross_sign_small|cross_sign_large|cross_mag_pos|cross_mag_neg|cross_sign_sum|cross_mag_sum|content_agreement|content_disagreement|coupled_xnor|orientation_agreement|orientation_disagreement|triple_even_parity
future_relational_witness_triple-triple-s777,V_future_relational_witness_triple,777,1.0,1.0,True,True,cross_sign_small|cross_sign_large|cross_mag_pos|cross_mag_neg|cross_sign_sum|cross_mag_sum|content_agreement|content_disagreement|coupled_xnor|orientation_agreement|orientation_disagreement|triple_even_parity
control_symbolic_sector_only-triple-s42,V_control_symbolic_sector_only,42,0.5,0.666667,True,,pair_P_small__P_small|pair_P_small__P_large|pair_P_small__N_small|pair_P_small__N_large|pair_P_large__P_small|pair_P_large__P_large|pair_P_large__N_small|pair_P_large__N_large|pair_N_small__P_small|pair_N_small__P_large|pair_N_small__N_small|pair_N_small__N_large|pair_N_large__P_small|pair_N_large__P_large|pair_N_large__N_small|pair_N_large__N_large
control_symbolic_sector_only-triple-s123,V_control_symbolic_sector_only,123,0.5,0.666667,True,,pair_P_small__P_small|pair_P_small__P_large|pair_P_small__N_small|pair_P_small__N_large|pair_P_large__P_small|pair_P_large__P_large|pair_P_large__N_small|pair_P_large__N_large|pair_N_small__P_small|pair_N_small__P_large|pair_N_small__N_small|pair_N_small__N_large|pair_N_large__P_small|pair_N_large__P_large|pair_N_large__N_small|pair_N_large__N_large
control_symbolic_sector_only-triple-s777,V_control_symbolic_sector_only,777,0.5,0.666667,True,,pair_P_small__P_small|pair_P_small__P_large|pair_P_small__N_small|pair_P_small__N_large|pair_P_large__P_small|pair_P_large__P_large|pair_P_large__N_small|pair_P_large__N_large|pair_N_small__P_small|pair_N_small__P_large|pair_N_small__N_small|pair_N_small__N_large|pair_N_large__P_small|pair_N_large__P_large|pair_N_large__N_small|pair_N_large__N_large
control_symbolic_content_only-triple-s42,V_control_symbolic_content_only,42,0.5,0.666667,True,,content_aligned__aligned|content_aligned__crossed|content_crossed__aligned|content_crossed__crossed
control_symbolic_content_only-triple-s123,V_control_symbolic_content_only,123,0.5,0.666667,True,,content_aligned__aligned|content_aligned__crossed|content_crossed__aligned|content_crossed__crossed
control_symbolic_content_only-triple-s777,V_control_symbolic_content_only,777,0.5,0.666667,True,,content_aligned__aligned|content_aligned__crossed|content_crossed__aligned|content_crossed__crossed
control_symbolic_orientation_only-triple-s42,V_control_symbolic_orientation_only,42,0.5,0.666667,True,,orientation_forward__forward|orientation_forward__reverse|orientation_reverse__forward|orientation_reverse__reverse
control_symbolic_orientation_only-triple-s123,V_control_symbolic_orientation_only,123,0.5,0.666667,True,,orientation_forward__forward|orientation_forward__reverse|orientation_reverse__forward|orientation_reverse__reverse
control_symbolic_orientation_only-triple-s777,V_control_symbolic_orientation_only,777,0.5,0.666667,True,,orientation_forward__forward|orientation_forward__reverse|orientation_reverse__forward|orientation_reverse__reverse
control_symbolic_sign_content_cross-triple-s42,V_control_symbolic_sign_content_cross,42,0.5,0.666667,True,,cross_same__same|cross_same__diff|cross_diff__same|cross_diff__diff
control_symbolic_sign_content_cross-triple-s123,V_control_symbolic_sign_content_cross,123,0.5,0.666667,True,,cross_same__same|cross_same__diff|cross_diff__same|cross_diff__diff
control_symbolic_sign_content_cross-triple-s777,V_control_symbolic_sign_content_cross,777,0.5,0.666667,True,,cross_same__same|cross_same__diff|cross_diff__same|cross_diff__diff
control_symbolic_two_family_bounded-triple-s42,V_control_symbolic_two_family_bounded,42,0.5,0.666667,True,,sc_same__same|sc_same__diff|sc_diff__same|sc_diff__diff|so_same__same|so_same__diff|so_diff__same|so_diff__diff|co_same__same|co_same__diff|co_diff__same|co_diff__diff
control_symbolic_two_family_bounded-triple-s123,V_control_symbolic_two_family_bounded,123,0.5,0.666667,True,,sc_same__same|sc_same__diff|sc_diff__same|sc_diff__diff|so_same__same|so_same__diff|so_diff__same|so_diff__diff|co_same__same|co_same__diff|co_diff__same|co_diff__diff
control_symbolic_two_family_bounded-triple-s777,V_control_symbolic_two_family_bounded,777,0.5,0.666667,True,,sc_same__same|sc_same__diff|sc_diff__same|sc_diff__diff|so_same__same|so_same__diff|so_diff__same|so_diff__diff|co_same__same|co_same__diff|co_diff__same|co_diff__diff
