section,item,value
claim,strongest_honest_claim,"PhaseWrap-RoPE is a compact, auditable phase-wrap positional scoring rule with reproducible hardware/readout witnesses and mixed toy/diagnostic downstream evidence. Hard and soft support-routing diagnostics show the row family can be solved, but learned scalar, nonlinear, in-decoder support-supervised, dual support/target-attention, practical budget-sensitivity, structural-teacher distillation, added-depth teacher-distillation, length-curriculum, and direct support-binding routes still fail free held-out support-to-token retrieval. Stage 93 bounds the current toy pointer-generator lane as insufficient for free held-out original retrieval. Stage 94 confirms the predeclared promotion gate is still unmet because the current evidence lacks a free learned PhaseWrap-led original-retrieval solve. Stage 95 surfaces confidence intervals for selected headline structural positives and free learned failures without changing that boundary. Stage 96 packages this as a claim card to reduce publication-facing over-read risk. Structural copy-expert compositions can repair phase-cued and exact-offset retrieval, but they are method-nonspecific or not PhaseWrap-led, so fair matched decoder/pointer-generator audits do not yet support RoPE replacement or positional-method promotion."
decision,decision,CLAIM_CARD_BOUND_STRONGEST_HONEST_CLAIM
decision,promotion_gate_ready,False
unsupported_claim,1,PhaseWrap-RoPE replaces RoPE.
unsupported_claim,2,PhaseWrap-RoPE is better than RoPE under current fair matched transformer comparisons.
unsupported_claim,3,Content-key retrieval success is PhaseWrap-specific evidence.
unsupported_claim,4,Tiny-text QA gains establish original retrieval generalization.
unsupported_claim,5,Bounded hardware/readout witnesses establish production language-model quality gains.
headline_interval,structural_phase_cued_solve,"{""headline"": ""structural_phase_cued_solve"", ""lane"": ""structural_copy_route"", ""method"": ""rope_relative"", ""stage_dir"": ""stage88_structural_retrieval_routed_copy_expert_audit"", ""task"": ""phase_cued_retrieval"", ""top1_ci_high"": 0.816666, ""top1_ci_low"": 0.75, ""top1_mean"": 0.783333}"
headline_interval,structural_exact_offset_solve,"{""headline"": ""structural_exact_offset_solve"", ""lane"": ""structural_copy_route"", ""method"": ""rope_relative"", ""stage_dir"": ""stage88_structural_retrieval_routed_copy_expert_audit"", ""task"": ""exact_offset_passkey"", ""top1_ci_high"": 1.0, ""top1_ci_low"": 1.0, ""top1_mean"": 1.0}"
headline_interval,free_learned_best_phase_cued,"{""headline"": ""free_learned_best_phase_cued"", ""lane"": ""free_learned_pointer_generator"", ""method"": ""sinusoidal"", ""stage_dir"": ""stage85_dual_auxiliary_pointer_generator_audit"", ""task"": ""phase_cued_retrieval"", ""top1_ci_high"": 0.116667, ""top1_ci_low"": 0.0, ""top1_mean"": 0.05}"
headline_interval,free_learned_best_exact_offset,"{""headline"": ""free_learned_best_exact_offset"", ""lane"": ""free_learned_pointer_generator"", ""method"": ""sinusoidal"", ""stage_dir"": ""stage90_three_block_teacher_distilled_pointer_generator_audit"", ""task"": ""exact_offset_passkey"", ""top1_ci_high"": 0.516667, ""top1_ci_low"": 0.316667, ""top1_mean"": 0.433333}"
headline_interval,recent_support_binding_phase_cued,"{""headline"": ""recent_support_binding_phase_cued"", ""lane"": ""free_learned_pointer_generator"", ""method"": ""alibi"", ""stage_dir"": ""stage92_support_binding_teacher_pointer_generator_audit"", ""task"": ""phase_cued_retrieval"", ""top1_ci_high"": 0.083333, ""top1_ci_low"": 0.016667, ""top1_mean"": 0.05}"
headline_interval,recent_support_binding_exact_offset,"{""headline"": ""recent_support_binding_exact_offset"", ""lane"": ""free_learned_pointer_generator"", ""method"": ""sinusoidal"", ""stage_dir"": ""stage92_support_binding_teacher_pointer_generator_audit"", ""task"": ""exact_offset_passkey"", ""top1_ci_high"": 0.45, ""top1_ci_low"": 0.3, ""top1_mean"": 0.366667}"
